Match ID,Data Set 1,Data Set 2,Status,label,y_pred,y_pred_label
317,JP/232400452,452,Partial Matched,1,1,Partial Match
318,JP/232400453,453,Partial Matched,1,1,Partial Match
319,JP/232400454,454,Partial Matched,1,1,Partial Match
320,455,455,Exact Matched,2,2,Exact Match
321,JP/222300457,457,Partial Matched,1,1,Partial Match
322,0458/23-24,0458,Partial Matched,1,1,Partial Match
323,JP/222300458,458,Partial Matched,1,1,Partial Match
324,JP/232400459,459,Partial Matched,1,1,Partial Match
325,0459/23-24,0459,Partial Matched,1,1,Partial Match
326,JP/232400460,460,Partial Matched,1,1,Partial Match
327,JP/222300460,460,Partial Matched,1,1,Partial Match
328,JP/232400461,461,Partial Matched,1,1,Partial Match
329,JP/222300461,461,Partial Matched,1,1,Partial Match
330,JP/232400462,462,Partial Matched,1,1,Partial Match
331,JP/222300462,462,Partial Matched,1,1,Partial Match
332,462/2023-24,462,Partial Matched,1,1,Partial Match
333,465,465,Exact Matched,2,2,Exact Match
334,466,466,Exact Matched,2,2,Exact Match
335,467,467,Exact Matched,2,2,Exact Match
336,JP/222300470,470,Partial Matched,1,1,Partial Match
337,JP/232400471,471,Partial Matched,1,1,Partial Match
338,JP/232400472,472,Partial Matched,1,1,Partial Match
339,JP/232400473,473,Partial Matched,1,1,Partial Match
340,JP/232400474,474,Partial Matched,1,1,Partial Match
341,JP/232400475,475,Partial Matched,1,1,Partial Match
342,477/2023-24,477,Partial Matched,1,1,Partial Match
343,478/2023-24,478,Partial Matched,1,1,Partial Match
344,JP/232400486,486,Partial Matched,1,1,Partial Match
345,JP/222300488,488,Partial Matched,1,1,Partial Match
346,JP/222300489,489,Partial Matched,1,1,Partial Match
347,JP/222300490,490,Partial Matched,1,1,Partial Match
348,JP/222300491,491,Partial Matched,1,1,Partial Match
349,492,492,Exact Matched,2,2,Exact Match
350,493,493,Exact Matched,2,2,Exact Match
351,JP/232400494,494,Partial Matched,1,1,Partial Match
352,JP/232400495,495,Partial Matched,1,1,Partial Match
353,JP/232400496,496,Partial Matched,1,1,Partial Match
354,JP/222300499,499,Partial Matched,1,1,Partial Match
355,JP/232400500,500,Partial Matched,1,1,Partial Match
356,JP/222300500,500,Partial Matched,1,1,Partial Match
357,JP/232400501,501,Partial Matched,1,1,Partial Match
358,JP/232400505,505,Partial Matched,1,1,Partial Match
359,JP/232400506,506,Partial Matched,1,1,Partial Match
360,JP/222300507,507,Partial Matched,1,1,Partial Match
361,507/2023-24,507,Partial Matched,1,1,Partial Match
362,JP/222300508,508,Partial Matched,1,1,Partial Match
363,JP/222300509,509,Partial Matched,1,1,Partial Match
364,JP/222300510,510,Partial Matched,1,1,Partial Match
365,510/2023-24,510,Partial Matched,1,1,Partial Match
366,JP/222300511,511,Partial Matched,1,1,Partial Match
367,JP/232400513,513,Partial Matched,1,1,Partial Match
368,JP/222300514,514,Partial Matched,1,1,Partial Match
369,JP/232400518,518,Partial Matched,1,1,Partial Match
370,JP/222300519,519,Partial Matched,1,1,Partial Match
371,JP/232400519,519,Partial Matched,1,1,Partial Match
372,JP/232400520,520,Partial Matched,1,1,Partial Match
373,JP/232400521,521,Partial Matched,1,1,Partial Match
374,JP/232400522,522,Partial Matched,1,1,Partial Match
375,522,522,Exact Matched,2,2,Exact Match
376,JP/232400523,523,Partial Matched,1,1,Partial Match
377,524,524,Exact Matched,2,2,Exact Match
378,525,525,Exact Matched,2,2,Exact Match
379,JP/222300526,526,Partial Matched,1,1,Partial Match
380,JP/222300527,527,Partial Matched,1,1,Partial Match
381,JP/222300528,528,Partial Matched,1,1,Partial Match
382,JP/232400528,528,Partial Matched,1,1,Partial Match
383,JP/222300529,529,Partial Matched,1,1,Partial Match
384,JP/232400529,529,Partial Matched,1,1,Partial Match
385,JP/222300530,530,Partial Matched,1,1,Partial Match
386,0530/23-24,0530,Partial Matched,1,1,Partial Match
387,JP/222300531,531,Partial Matched,1,1,Partial Match
388,0531/23-24,0531,Partial Matched,1,1,Partial Match
389,0532/23-24,0532,Partial Matched,1,1,Partial Match
390,0533/23-24,0533,Partial Matched,1,1,Partial Match
391,0542/23-24,0542,Partial Matched,1,1,Partial Match
392,JP/222300543,543,Partial Matched,1,1,Partial Match
393,JP/222300544,544,Partial Matched,1,1,Partial Match
394,JP/222300545,545,Partial Matched,1,1,Partial Match
395,JP/232400547,547,Partial Matched,1,1,Partial Match
396,JP/222300547,547,Partial Matched,1,1,Partial Match
397,JP/232400548,548,Partial Matched,1,1,Partial Match
398,JP/222300549,549,Partial Matched,1,1,Partial Match
399,JP/222300550,550,Partial Matched,1,1,Partial Match
400,JP/222300551,551,Partial Matched,1,1,Partial Match
401,JP/222300552,552,Partial Matched,1,1,Partial Match
402,JP/222300555,555,Partial Matched,1,1,Partial Match
403,JP/222300556,556,Partial Matched,1,1,Partial Match
404,JP/222300557,557,Partial Matched,1,1,Partial Match
405,558,558,Exact Matched,2,2,Exact Match
406,559,559,Exact Matched,2,2,Exact Match
407,560,560,Exact Matched,2,2,Exact Match
408,JP/222300564,564,Partial Matched,1,1,Partial Match
409,JP/222300565,565,Partial Matched,1,1,Partial Match
410,JP/222300567,567,Partial Matched,1,1,Partial Match
411,JP/222300568,568,Partial Matched,1,1,Partial Match
412,JP/232400568,568,Partial Matched,1,1,Partial Match
413,JP/222300569,569,Partial Matched,1,1,Partial Match
414,JP/222300570,570,Partial Matched,1,1,Partial Match
415,JP/222300571,571,Partial Matched,1,1,Partial Match
416,JP/232400578,578,Partial Matched,1,1,Partial Match
417,JP/232400579,579,Partial Matched,1,1,Partial Match
418,JP/222300580,580,Partial Matched,1,1,Partial Match
419,JP/222300585,585,Partial Matched,1,1,Partial Match
420,JP/222300586,586,Partial Matched,1,1,Partial Match
421,JP/222300588,588,Partial Matched,1,1,Partial Match
422,JP/232400589,589,Partial Matched,1,1,Partial Match
423,JP/222300589,589,Partial Matched,1,1,Partial Match
424,JP/222300590,590,Partial Matched,1,1,Partial Match
425,JP/222300591,591,Partial Matched,1,1,Partial Match
426,JP/232400591,591,Partial Matched,1,1,Partial Match
427,0594/23-24,0594,Partial Matched,1,1,Partial Match
428,JP/232400596,596,Partial Matched,1,1,Partial Match
429,602,602,Exact Matched,2,2,Exact Match
430,603,603,Exact Matched,2,2,Exact Match
431,604,604,Exact Matched,2,2,Exact Match
432,JP/232400606,606,Partial Matched,1,1,Partial Match
433,JP/232400607,607,Partial Matched,1,1,Partial Match
434,JP/232400608,608,Partial Matched,1,1,Partial Match
435,JP/232400610,610,Partial Matched,1,1,Partial Match
436,614,614,Exact Matched,2,2,Exact Match
437,616,616,Exact Matched,2,2,Exact Match
438,JP/222300618,618,Partial Matched,1,1,Partial Match
439,JP/232400620,620,Partial Matched,1,1,Partial Match
440,JP/232400621,621,Partial Matched,1,1,Partial Match
441,JP/232400623,623,Partial Matched,1,1,Partial Match
442,JP/222300626,626,Partial Matched,1,1,Partial Match
443,628,628,Exact Matched,2,2,Exact Match
444,JP/232400629,629,Partial Matched,1,1,Partial Match
445,JP/232400633,633,Partial Matched,1,1,Partial Match
446,JP/222300635,635,Partial Matched,1,1,Partial Match
447,JP/222300636,636,Partial Matched,1,1,Partial Match
448,JP/232400638,638,Partial Matched,1,1,Partial Match
449,JP/232400639,639,Partial Matched,1,1,Partial Match
450,JP/222300639,639,Partial Matched,1,1,Partial Match
451,JP/222300641,641,Partial Matched,1,1,Partial Match
452,JP/222300643,643,Partial Matched,1,1,Partial Match
453,JP/222300645,645,Partial Matched,1,1,Partial Match
454,JP/232400646,646,Partial Matched,1,1,Partial Match
455,JP/222300646,646,Partial Matched,1,1,Partial Match
456,646,646,Exact Matched,2,2,Exact Match
457,JP/232400647,647,Partial Matched,1,1,Partial Match
458,JP/222300647,647,Partial Matched,1,1,Partial Match
459,647,647,Exact Matched,2,2,Exact Match
460,JP/232400648,648,Partial Matched,1,1,Partial Match
461,JP/232400649,649,Partial Matched,1,1,Partial Match
462,JP/232400650,650,Partial Matched,1,1,Partial Match
463,JP/232400651,651,Partial Matched,1,1,Partial Match
464,JP/232400654,654,Partial Matched,1,1,Partial Match
465,JP/232400656,656,Partial Matched,1,1,Partial Match
466,JP/222300656,656,Partial Matched,1,1,Partial Match
467,JP/232400657,657,Partial Matched,1,1,Partial Match
468,JP/222300657,657,Partial Matched,1,1,Partial Match
469,JP/222300663,658,Partial Matched,1,1,Partial Match
470,JP/222300659,659,Partial Matched,1,1,Partial Match
471,JP/222300662,662,Partial Matched,1,1,Partial Match
472,JP/222300658,663,Partial Matched,1,1,Partial Match
473,JP/232400664,664,Partial Matched,1,1,Partial Match
474,JP/232400665,665,Partial Matched,1,1,Partial Match
475,JP/232400666,666,Partial Matched,1,1,Partial Match
476,JP/222300670,670,Partial Matched,1,1,Partial Match
477,JP/222300671,671,Partial Matched,1,1,Partial Match
478,JP/222300672,672,Partial Matched,1,1,Partial Match
479,JP/222300673,673,Partial Matched,1,1,Partial Match
480,JP/222300674,674,Partial Matched,1,1,Partial Match
481,675,675,Exact Matched,2,2,Exact Match
482,JP/232400678,678,Partial Matched,1,1,Partial Match
483,JP/232400679,679,Partial Matched,1,1,Partial Match
484,JP/232400680,680,Partial Matched,1,1,Partial Match
485,JP/222300683,683,Partial Matched,1,1,Partial Match
486,0684/23-24,0684,Partial Matched,1,1,Partial Match
487,JP/232400684,684,Partial Matched,1,1,Partial Match
488,684,684,Exact Matched,2,2,Exact Match
489,JP/222300685,685,Partial Matched,1,1,Partial Match
490,JP/222300686,686,Partial Matched,1,1,Partial Match
491,JP/222300687,687,Partial Matched,1,1,Partial Match
492,JP/232400688,688,Partial Matched,1,1,Partial Match
493,JP/222300688,688,Partial Matched,1,1,Partial Match
494,JP/232400689,691,Partial Matched,1,1,Partial Match
495,JP/232400691,691,Partial Matched,1,1,Partial Match
496,JP/232400692,692,Partial Matched,1,1,Partial Match
497,JP/222300693,693,Partial Matched,1,1,Partial Match
498,697,697,Exact Matched,2,2,Exact Match
499,JP/222300698,698,Partial Matched,1,1,Partial Match
500,698,698,Exact Matched,2,2,Exact Match
501,JP/232400699,699,Partial Matched,1,1,Partial Match
